KS|kickstarter
BOP2.0|Costs a fortune, may actually be vapourware, but apart from that, pretty good
bop|meh
It certainly|a handsome game
instead the new music basically sucks and|not anywhere near as cool as the original
The original BOP music|pretty good, gotta admit that
PB|Pin:Bot
aussie|just a deathtrap anyway
BBB|Big Bang Bar, seriously not worth it's price tag
Sonny_Jim|a nerd!
Ramp|a bit fucked thugh
NASCAR|pretty good fun
AUD|in the toilet at the moment, don't forget
yeah that|low
WoZ|like, super gay to your average Australian bloke
fire station|next door
23mph|damned good fuel economy on a 7,000 lb vehicle.
Mustang|Mus(turd), lol
yea the topper|there but not in the best shape... will have to take it to some plastic guy :(
but yea the game|not really playable as of right now... 
the left flipper|broken lol first time i seen that 
Either flipper|pretty much just as likely to break as the other
the bat|broken
My guess|that the rubber broke and fell off, they played it for a bit with no rubber and cracked it
But the gist|that WWF no longer care about them showing archive footage with the old logo
Yeah no bell|kinda lame
then if switch|defective   LOL
COTS PC|cheap, but not designed for anything longer than a 3 year life cycle
haha this|funny
Pinball|a rich mans hobby now
Jackpot|only 8mill at the most as well
the tech|a different approach
that|i guess if it axtually gets made
labor|a LOT cheaper here in the south.
but there|a chart in the manual just kinda in a shitty spot lol 
well gi|lights sonny lol
that shit|already available
fun|a conditional response
comedy|always good
the ship|indeed a cool toy
gameplay|fine
next|MMR's  :D
rumor|build 250 then Stern moves and building resumes of MMR
My guess|that it'll be a SR licensed game
767|about 4/5 times the mass of a 707
and 707|what the building design criteria considered
his brain|weird
what im saying|that pinball was never big for me wish it was 
7-Eleven|probably a bigger brand globally than in the US
The seesaw bit|lame, the joker toy is lame
SM|Spiderman
LIS|Lost In Space
LIS|"Hey, I put the ball into the jets, multiball.  Hey, I hit some targets, multiball.  Hey, I sneezed, multiball"
Jerry Buckner|a successful songwriter, producer, artist, and premier voice talent. As part of “Buckner & Garcia,” Jerry co-created a song that some would consider the soundtrack of a generation. “Pac-Man Fever” sold 1.2 Million copies in the U.S. and rose to the #9 spot on the Billboard Top 100 in 1982. As a keyboardist and arranger, Jerry has scored original music for television and motion picture soundtracks along w
PSA level|a little high so they did the exam.
canada dental|stupid
dentistry|outside of that relm
this taf|so cheap too 
the whirlwind|stripped topside busy cleaning etc 
but the other|tight like superman had at it
that|what michigan ops were doing for years.  
weak flipper|one thing but if u cant make a rampshop its just awfull
this bubble|gonna bust
papa|growing because there are less places to play in the wild
257|the name of the place i believe 
hopefully there|a TWD code update right before it
WWE|still tbd
not everything|a home run but don't sleep on some of these titles
so there|a "gap' in the market for such a site then
Yes it|suprising that WWE didn't include a real bell that rings
local news|all a ga-ga over the winter storm warning
all i know|pin shit is expensive holy crap
black|harder, deadens the ball more
white|springier
my preference|whatever WMS (or whomever) made the game with.
marco for me|just too high priced
basically what|going on right now is an intense winter/early spring rainstorm, only it isn't raining.
owning new pins|way over rated.
I guess there|a reason why both are used, I've never thought about it though
okay so fiber|the order then 
what madness|this... 
The cat|out of the bag:S
surely this|not a good diea
so our ECHL team|playing Orlando's tonight, in orlando ...
so what u saying|find one and stick a game or two in ? lol
the store space|climate controlled, so shouldn't have much humidity.
that|a flooded market down here like crazy 
and a goalie|one of those game misconducts ... (when's the last time you heard of THAT?)
Orlando|currently sitting on 97 pin ... just for them.
Artwork fpr FTHR|in the process of being finalised, so my guess is that they'll start building the 15 or so that were ordered in the next week or so
the subject|greater.  Con men of Pinball
Skitb|just the usual
joke|money paid for predator can be converted to Experts of Dangerous :D
EOD|Experts of Dangerous
since JJP|building/assembling
JY|better than a shit-ton of games
The comedy|well done.
PM|Pinball Magic
JY|one game I'm pretty good at
my timing|pretty good still, but my stamina is no longer that great
all I know|that takes skill
The good thing|that the work I'm doing is dual use, so Pisound now has a semi-usable graphics engine
The artwork|a disgrace at best
Kerins|funny, when he misses he claims it's close.
lol bags that|crazy priced
The gumball|your game ball, and if you flip it into the top gobble hole, you win, and not only do you get that ball dispensed to you, it drops one more.
Zen|a school of Mahayana Buddhism that developed in China during the 6th century as Chán. From China, Zen spread south to Vietnam, northeast to Korea and east to Japan.
My guess|on that part is that they got stung with a C&D a few months ago and have been trying to work out what to do
that|pretty much the issue-right there
brian|a good guy...  if he fucks you over, he'll use lube
metallica|fun to play.  waiting for them to make more in May (Rumored) then I'll have one
score wise 500M+|my high
the coffin|surprisingly not as much of a drain shot as it looks
the grave|probably the most dangerous of the major shots
kiss|a toss up, the rest you've played enough
i think the met|one of the new met pros
%lu|looks like
gcc|typically llu
AW4|supposed to be just ridiculous inside to get it all back together right.
suh|the best lineman in the league tho
guy|mean
I guess that|a pretty big downside
not eating meat|probably best
tz|Twilight Zone
STTNG|the opposite, didn't like it when I first played it, had a good couple of sessions on it and quite like it now
sttng|Star Trek: The Next Generation
jy|Junkyard
afm|Attack From Mars
rfm|Revenge From Mars
rfm|pretty fun
Layout|boring
CCC|Cactus Canyon Cremated
CC|Cactus Canyon
woz|also half a million lines of code
looks like amh|16K
the Pro|basically the "don't actually buy this" edition
Tron Pro|alright!
met pro|very good
the glass|frosted so you do see a shadow near the flippers
Now that|strange
GBP|about £1 = $1.4 iirc
but kmath|likely to have endurance on its side
900p|better than anything the old consoles got and the new consoles are quickly dropping below that
only thing lost|money and that's negligible so long as it doesn't fall apart and become unusable in months
MFT|a plugin that relies on MM patches to impart its configuration changes to the parts
MFT|not realfuels
Realfuels|MFT with real fuels, basically
60FPS|/fast/
Izaya what|the most graphically intense games you own
Someone|working on a realism ISRU config as well
5ms|200fps
BBB|a joke, but 2) customers also say their Service sucks
Watch Dogs|a hacking magic bs game
watch dogs|GTA with c0mput3rz
and this|why ill probably buy the nexus 7 until they stop producing them
Hydrazine|generally used for ACS/RCS corky
MMH/NTO|better than UDMH, but UDMH is more common
hydrazine|used as a monopropellant, but it also works as a bipropellant
Akihabara|like 80% weeaboos
free|free
Ben Stiller|awesome
What the heck|Facbook doing
Mac|fine if you like buying a new PC to upgrade anything
School IT dept|near-useless.
Elon Musk|just one accident away from being a villain
ula|clearly microsoft though
finder|horrible trash
navigation|a pain.
Kountdown|gaining sentience slowly
Pi day|2 months after Christmas
Mountain Dew|not available in my country :(
Now Dr Pepper|the nectar of the gods.
The dollar|weak, but the keona is extremely weak.
WWE|gay to most beer-drinkin', wife slappin' aussie blokes
Nikola Tesla|an engineer and an inventor who demonstrated that wireless energy transfer to power electronic energy devices was possible in as early as the year 1893. He even proposed a global system that would use the earth to convey energy from transmitter to receiver
But the energy|unlimited and free
The world|a horrible place. Instead of spending the resources to the best possible the corporations manufacture and sell junk based on planned obsolescence that will soon turn into wast so you have to buy the next model. Instead of providing washing machines to humanity they provide it to 2 billion reselling them every 5 years. ALso we are dependant on exponential economic growth but at 
3% growth|at the edge of a recession, they want at least 5-7%
guy|crazy
Today|Setting Orange, the 2nd day of Discord in the YOLD 3181
The Moon|Waning Crescent (18% of Full)
JPM|MIA
2 player|legit because you do swap machines and take the average.
CPL|Chicago Pinball League
too bad our game|wrapped up in the basement, in the middle of a relocation
under 200 wppr|one.
actually ST|the biiggest title upgraded, but more were updated with bug fixes likely since it included CSI
my TZ|set to be papa-tough, except ball 1 has a saver because that's just mean
My money|on "Hey Mike, you are the new guy, do all the boring stuff"
wayno|the worst of the worst
new software|awesome
Only shite|you will wear out the mechs like I did
If you table|as flat as a pancake, sure
crowdfunding|bad, crowdfunding pins is worse
crowd funding|bad when the ppl have no idea how much poriduction costs
i said this|cool
Pinside|impressively coded
OR Dev kit II|$250?  Plus another $1000 or so for a PC and monitor to run it
matthew|a dumbass
anything pinball|good :)
that video|solid 
whatever it|lol
wayno|as bad as they come
The point|about sample size.  If the sample size is big enough then it's reasonable to extrapolate that to all pins outside of that sample
manufacturing|a BUSINESS ... and that means you maximize profits.
All I know|that there's more engineering that goes into making the lockdown bars fit your hands than you realise
their|probably not much labor that goes into making a pinball leg 
No.  The cost|the same.
stern's setup|nowhere as "clean"
dont think there|a JJP assembly line vid out, could be wrong
but FH|a system 11!
Xina (The Pin2k)|allegedly backronymed "Xina Is Not APPLE"
ps2|the smaller plug that all the non-usb connections today use.
heh  utube|a google property
where|it announced?  haven't seen it yet
ss|fun but after owning one for 10 years i was done with it
WPT|another and it's dirt cheap
Road Show|a strange game indeed
price|kinda CRAZY
that tiny board|so sexy
slow version|totallly incompatible with today's ADHD kids
work|just not as fun
The bonus|that MPF supports P-ROC
making pins|hard and costly
If stern|smart, the will use their new Sprite system
spike|cool so is Jersey Jack
Kevin|quite the accomplished Smash Brothers player
WN|Whoa Nellie!
wonder wha|so valuable to spend all them $'s on
My guess|Kevin thought he had what he needed, when in fact all he could use was the logo
fomoco|very specific about the usage of its logo, with its partners.  i was in the middle of that discussion a few times.
This one|the one with the clips:
building 1|easy, build dozen plus is a diff story
gabby|friends with Fotherby, et al
that vid1900|awesome 
Martin|copping a load of flak from the UK guys, should have told them as soon as he found out there was no license back in Jan
god Neo|being a douche
matrix|not as under the radar as they think.
oh he|I'm sure
I think the idea|that if issues refunds it shows remorse to the court or something
Sonny_Jim:|there a cliff notes/synopsis on this whole predator thing
this article|informative as fuck
40K|alot on cyclone
that game|beyonf amazing
yea V|easy until you do online heists
if there|money to be made
I guess cert|a lot easier when you say "Well, you tested this part before, it has X amount of RFI blah blh"
aus|like crazy when it comes to that sort of pest control shit
My guess|that he saw all these other guys making unlicensed mods etc that he honestly thought he could get away with it
That excitement|loooong gone for me
Reciprocal|in New York?   rent is very high
ebay|a scam
their site|right there
No one|two words, btw
the patent|one page and it says "Use a computer to control a pinball machine"
My guess|that it's supposed to have a circlip on the back of the washer and it's fallen out in transit
another issue|the correct sized clock case screws DO NOT EXIST so I think litz put 4 long screws through the entire housing
(escalade|a bigass caddy)
Well there|an url but nothing streaming yet.
My guess|that a lot of sites block Curl useragents
haha   tht|funny
Twitch|weird: you can do some stuff only on PC, other stuff only on mobile
not that this|a good thing
Stanford|the gold standard wrt password recommendations for users, note the rather cool poster: http://arstechnica.com/security/2014/04/stanfords-password-policy-shuns-one-size-fits-all-security/ 
if something|LGPL and it's statically linked, then your whole program is now under LGPL
GPL|just a license virus
wait... LGPL|more permissive than GPL (GPL is viral but LGPL is not)
GPL software|deliberately underpriced (free) in monetary cost, but has a price to pay in the form of this very big string attached to it, that you must agree to in order to legally use it.
So there|an actual lawsuit from the Nucore guys?  I was about to ask how they managed to track down the Pinbox guy but iirc the twat tried selling it
pin2k os|http://webcache.googleusercontent.com/search?q=cache:sIAJGbpPEBgJ:www.videopenny.com/pinball/pinrepair/pin2000/xina.htm+&cd=11&hl=en&ct=clnk&gl=us
That wire|a hell of a lot thicker than a thermistor leg and doesn't vibrate ;-)
TAG|Thunderbirds Are Go
the WMS stuff|all in the rom images
mpg123|in there as well
all it takes|ONE reference ...
but the base|XINU
XINU|not UNIX
XINA:  XINA|not APPLE
gpl|worse than lgpl
here|a factory tour of stern i havent seen myself yet . figured ill share
hobbit|untouchable till it ships
hint - phrase|on the backglass
* AC/DC|DONE - no remakes, license is expired
The chance stuff|mine.
VE|Vault Edition, or "We found a way to make it even cheaper"
That ipdb search|kinda cheap, I could do it properly but meh
Hence why TAF|the most successful machine of the *modern* era
fwtg|a big scam
fwtg|Flippin' With The Greats
8Bit flip|coming up this weekend, should be good
Plus London|expensive/far
limited herb|pretty nice.
plus the ipdb|way bottom heavy
pinburgh|sounding like a crazy good time
WWind lock|tough, you have to fight for control off the plunge, then get it on left flipper and shoot the right ramp
The problem|that IPDB listings page doesn't give the PUID of each machine
Best you can do|feed the name into !ipdb
Everyone|going to be buying Aliens
Jersey Jack|Been a naughty boy and took something out of Elauts cookie jar
skeptical|the only state of mind when it comes to boutique games being massly produced
AMH|yawn also
WWE|gay x 10 billion
The hardest bit|ramps and metal guides, as long as you aren't trying to make crazy mechanisms
wayne-o|the pin devil? from the land down under...
"While this|not quite as exciting or in depth as Chicago Expo, there are some nuggets to look forward to including the widely anticipated announcement of AFM-R from PPS."
so|jpop trying to get sued by google now?  
most mail|trash
And when|GoT shipping so I can get some early orders in
1) there|no chance whatsoever any judgement in this action will tie to JJP ... if anything, jack personally, but not JJP
that said 8k|crazy cause the game is not that complex to begin with.. 
8k|Woz populated PF territory
TNT|pushing YWD now :p
Avatar|fairly good
Kickback|typically steve ritchie
factory line|not playtesting for playability
wow ... this|a mugshot, check kid on the right ... http://cdn.patch.com/users/2213323/2015/03/T800x600/201503551975b26f10f.png
warmth|coming to you
38 now|a heat wavew
ok this location|like seriously impossible:  https://www.google.com/maps/@37.2276237,-80.4233741,18z/data=!1e3
Maybe the market|saturated with classic hard rock bands
that game|fine but i dunno seems like a stretch to use
Medusa|another game that comes to mind
cyclopes|the plurlal of cyclops
problem|not really finding locations its just pins are expensive and im not rich
thing i found|that pinball seems hard for the casual player
bobby 10+|a fortune.... geez
damn when|texas pinball festival videos coming
10|a good number
freeman|served, lasagna again
liverty st|a bitch when you try to change lanes
hahaha scoregasm|a well done afj
holy shit|it nice out
on topic ass|different than off topic ass
Bloodborne|killer 
suspend/resume|also solid finally
so cali|turning to desert and fla will be eaten alive by termites..  
lol  what|bot'
Pinball|simpler, just rewrite the rom and be happy
the funniest|amazon's button.
wrigley|he only stadium in the country where the neighbors can actually sue to prevent stadium renovations
freeman|awaiting Arya Stark.
"Occulus rift|crap, looks really blocky, needs better resolution screens"
ipdb|a mess of data lol
10|notthe new 25
Nor|Predator, Big Lebowski, Full Throttle, Captain Nemo etc
The full list|5,700 odd
yes it|single player
where|the kaboom??   spose to be an earth shattering kaboom
reset|the symptom,  us giving you the silver bullet,  uggg..
the Scott|strong with this one
half the fun|working on them thats what they say
boondocks|great imo
freeman here|a pin for sale real cheapo
only way out|either wait 'til it melts, or bring out the bucket scooper
Gollum|so funny in the 1977 cartoon ;)
gollum|hilarious.
freeman|sleepless now waiting for Arya.
TJ |trying that
Paying by phone|cool until you have a login issue...  Then you lost your wallet
coin-op|competiting with all the gaming choices on smart phones.  those phones are charged.
the first hit|free
Waterfox|sporatically grabbing 25% of my CPU, and a GB of space.  i guess they want me to switch to chrome.
exception|something like Golden Tee Fore!, which has an actual card reader integrated into the game system, for reading player cards, and allowing credit card sales for tournament entries.
i guess he|close, with exhange.
msrp|5995 (Stern)
rgp2|dying the same death rgp is it seems
distribution|skewed 
Norway|a shit hole and a beehive, fuck this land of milk and honey
The industry|down and people aren't creating value, they are just providing services to eachother and paying tax.
All that|left is warehouses outside town and hairdressers
Even if the box|hardwired into the ignition I could see people bypassing it
man the alien|all u need 
Although he|saying that "We don't want to show anything that the licensor hasn't signed off on"
Stern|still making worse games than they did in 2003.
What could work|to make a kickstarter do donate money and make steve ritchi make one layout and lawlor make one based on a merge of previous ones, make them spend 3-5 years to get that as good as possible, then get some other dedicated people to write software and improve it for a decade to come.
LIS|the ultimate "Oh, you hit something?  Have a multiball!"
just right|better than more or less, because when it is less it's too little and when it's more it's overwelming
The game|overwhelming, he frowns upon it and walks away.
TZ instalitz|not counted for high scores though
But Kevinddr|the man to talk to about that
The problem|that it's to simple to bother practising 4 hours/day for 3 years to get good at it.
BBB|in IPDB twice, once for Capcom and once for IP
body|rusting out though sad enough
T&C|higher for the luxury
tidbot|being deliberately coy about FTH
(what the hell|SJ trying to do?)
sad how easy it|for them to get all that info
but June|a long way away, basketball-wise
fanbase|livid
maybe.  that|the series restart,  when she appears, or comes,  i don't know.
Heighway Pinball|very happy to announce that Aurich Lawson has joined the Heighway Pinball team – specifically as Creative Director for their upcoming ‘Alien Pinball’ game. Aurich is an artist, graphic designer and pinball collector from California. When he's not tinkering with pins or designing art packages for them he's the creative director for technology geek site Ars Technica
My guess|that he's sold about 30 FTHs so far based on pics of parts/people talking on forums
Wales|pretty screwed when it comes to manufacturing
My guess|that Aliens announcement put a bit of cash into the company through preorders and investor confidence
pinballinfo|the UKs version of pinside
to break things|part of the fun im told
MST3K|wearing a bit thin.
super soccer|SO fucking bad
opening day|like christmas for baseball fans
Darts|literally all about hand eye coordination, snooker is all about dem 6 hour matches ;-)
think new price|8K
if yes there|no problem
that thing|a stain on pinball history
The whole *site*|one big copyright nightmare
and pinball|not a sport, I don't care what you say
mgc|so blah
help|out of date
i like that ramp|a bash toy lol
Screen tearing|not hitting v-sync properly from what I remember
!pinZork|born
flip|wip
difficulty|hard on that game
jackpot|pretty hard on Creech
vid mode|possibly the best one 
music|also just ace for me
BSD|Bram Stokers Dracula
BSD|Better Spend Dollars
pinside|one massive circle jerk
TOM|Theatre of Magic
TOM|Shoot the trunk, shoot the trunk, shoot the trunk
flipper bat|broken on the whirlwind but im waiting on leds before i continue on it :
the game|with ramps off etc so im leaving it till i get leds 
WWF|massively underrated
Meteor|a great game
iirc|terrible
did big one|already reaplaced
yea cap kit|something i do on every game i get in now
gi connecter|burned up i unplugged that
12v|present yes
board|with me
Any DE Simpsons|going to have a trashed playfield
well pinball|all about having fun
only thing|see is
gavin|doing it up over there.... every month something bew
MGC|just a clusterF of machines and people without any real tourneys cept maybe Clock Chaos
MPE|running now.   MPE 2014 -- last year.    https://youtu.be/zGGJ7USqgjo
so 7 horus|7%, 5 qualifying games is 20%
everything|fresh made in s cafe
the sound|bland, art is the same green-haired chick drawn six times all over, playfield layout is dull, hardware sucks (horseshoe drops) .. there is absolutely no redeeming qualities about laser ball :(
Wow that|nice
oz|old now lol
chris|in the middle -- http://imgur.com/bVLw5m6
it appears he|setting up a factory to make pins.
not sure if she|in the season opener, but likely
Butch Peel|not the greatest orator is he
where|todddddd
 here|a real trick -- unlike bly / wms
The Order:1884|basically 30% cutscenes
multifunctional|an understatement
pin up gal stuff|HUGE
mick|a picture hound and started up his own Concert photo company  NRR
Where|says "Post #7169", right click, copy link
   it|nice that some CC companies did just chargeback paypal.   ashame, all won't.
"Sandking"|the pilot of "The Outer Limits" show and presents a story very similar to "The Fly": an ambitious scientist that makes a mistake with his experiment, being affected and becoming insane with the transformation. The story is disclosed in a low pace, with reasonable special effects for a television show, but the character of Dr. Simon Kress looks like a "crazy scientist" since the 
photoshop|fun
509|spokane washington
congo|not a 1500 game
note -- WOZ|listed as a 9,015 pin based on 11 sales
hockey pin|the next one inline for stern 
buy before build|kinda silly
circus|being done by "in the fold" folks who have knowledege and access in the industry.
one lane guide|all the way down and the other has a metal sheetlololol
 anything|possible,  with time, and money
orchestrion|right!
band organ|the proper term
shit|will have to make a brand new light board
amsterdam|a place i want to go
amstee|expensive as fucking hell
worst|when a ball goes sdtm 
Hodor|coming to an arcade near YOU!
waterworld|a lot of hit the middle to load the ship
if Tradaeu|next I'd agree, but borgie appears to be on
"cabinet style"|listed as "upright", but I would guess it's a basketball shooting redemption game, similar to the WMS Hot Shots
waterworld pin|pretty fun for a premier
small claims|5K limit
small claims|civil court
my point|... a detective is a law enforcement officier.
if the guy|convicted of a legal crime, that slam-dunks the civil suit.
thing|... that act of advertising is one crime ... taking the money from all the victims, that's another.
if the detective|smart,  he will kick this up to the federals , real quick.
and that|apparently what happened
1)|actually SELLING without the IP license, as well as intent to sell without the IP license
1)|clearly within intellectual property laws
2)|clearly theft
the difference|the victim ...
the dalek|only in 100 games
the mini-pf|very complicated for sure
tz clock|very intricate too, as is gumball machine
okay here|an example of what i mean
but there|no way in hell any day of the week that a game like that is better than those 2 
that game|just such a boat anchor
he says that he|near 70 years old.   yes, that is a different position.  <litz> Gary's in an enviable position ... his costs are nil, and his prices are sky high
The main part|working, I just need to add some IRC goodness to it
Dinklage|currently the funniest man on TV
cro|eatible
So buying|working on my pinwars trading game
hope that|true
the car|like $5/lb
woz|like $35!
Egyptology|totally a theme
hmm there|only one pic of that Keops pin.. and it is a flyer
keops|clearly a cleopatra copy/ripoff
problem|you can legit get so much draw on the line (drives not individually fused)
whitewater|a great game
ij|a great game
Entire lower pf|pointless
phurba|a superb example of building on existing technology ...
battlefield|a simple cog-wheel setup
